2020-08-06 22:35:39 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-08-06 22:35:39 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-08-06 22:35:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-08-06 22:35:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-08-06 22:35:39 install e2fsprogs:amd64 <none> 1.44.1-1
2020-08-06 22:35:39 status half-installed e2fsprogs:amd64 1.44.1-1
2020-08-06 22:35:39 status unpacked e2fsprogs:amd64 1.44.1-1
2020-08-06 22:35:39 status unpacked e2fsprogs:amd64 1.44.1-1
2020-08-06 22:35:39 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:39 install findutils:amd64 <none> 4.6.0+git+20170828-2
2020-08-06 22:35:39 status half-installed findutils:amd64 4.6.0+git+20170828-2
2020-08-06 22:35:39 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-08-06 22:35:39 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-08-06 22:35:39 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2020-08-06 22:35:39 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2020-08-06 22:35:39 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-08-06 22:35:39 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-08-06 22:35:39 install grep:amd64 <none> 3.1-2
2020-08-06 22:35:39 status half-installed grep:amd64 3.1-2
2020-08-06 22:35:39 status unpacked grep:amd64 3.1-2
2020-08-06 22:35:39 status unpacked grep:amd64 3.1-2
2020-08-06 22:35:39 install gzip:amd64 <none> 1.6-5ubuntu1
2020-08-06 22:35:39 status half-installed gzip:amd64 1.6-5ubuntu1
2020-08-06 22:35:39 status unpacked gzip:amd64 1.6-5ubuntu1
2020-08-06 22:35:39 status unpacked gzip:amd64 1.6-5ubuntu1
2020-08-06 22:35:39 install hostname:amd64 <none> 3.20
2020-08-06 22:35:39 status half-installed hostname:amd64 3.20
2020-08-06 22:35:39 status unpacked hostname:amd64 3.20
2020-08-06 22:35:39 status unpacked hostname:amd64 3.20
2020-08-06 22:35:39 install init-system-helpers:all <none> 1.51
2020-08-06 22:35:39 status half-installed init-system-helpers:all 1.51
2020-08-06 22:35:39 status unpacked init-system-helpers:all 1.51
2020-08-06 22:35:39 status unpacked init-system-helpers:all 1.51
2020-08-06 22:35:39 install libacl1:amd64 <none> 2.2.52-3build1
2020-08-06 22:35:39 status half-installed libacl1:amd64 2.2.52-3build1
2020-08-06 22:35:39 status unpacked libacl1:amd64 2.2.52-3build1
2020-08-06 22:35:39 status unpacked libacl1:amd64 2.2.52-3build1
2020-08-06 22:35:39 install libattr1:amd64 <none> 1:2.4.47-2build1
2020-08-06 22:35:39 status half-installed libattr1:amd64 1:2.4.47-2build1
2020-08-06 22:35:39 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-08-06 22:35:39 status unpacked libattr1:amd64 1:2.4.47-2build1
