2020-08-10 18:14:53 status unpacked libss2:amd64 1.42.13-1ubuntu1
2020-08-10 18:14:53 install libsystemd0:amd64 <none> 229-4ubuntu4
2020-08-10 18:14:53 status half-installed libsystemd0:amd64 229-4ubuntu4
2020-08-10 18:14:53 status unpacked libsystemd0:amd64 229-4ubuntu4
2020-08-10 18:14:53 status unpacked libsystemd0:amd64 229-4ubuntu4
2020-08-10 18:14:53 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2020-08-10 18:14:53 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:53 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:53 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2020-08-10 18:14:53 install libudev1:amd64 <none> 229-4ubuntu4
2020-08-10 18:14:53 status half-installed libudev1:amd64 229-4ubuntu4
2020-08-10 18:14:53 status unpacked libudev1:amd64 229-4ubuntu4
2020-08-10 18:14:53 status unpacked libudev1:amd64 229-4ubuntu4
2020-08-10 18:14:53 install libustr-1.0-1:amd64 <none> 1.0.4-5
2020-08-10 18:14:53 status half-installed libustr-1.0-1:amd64 1.0.4-5
2020-08-10 18:14:53 status unpacked libustr-1.0-1:amd64 1.0.4-5
2020-08-10 18:14:53 status unpacked libustr-1.0-1:amd64 1.0.4-5
2020-08-10 18:14:53 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2020-08-10 18:14:53 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2020-08-10 18:14:53 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
